Step,Solvable Non-Manifold (%),Unsolvable Non-Manifold (%)
0,0.000,0.000
1,0.000,0.000
2,0.000,0.000
3,0.000,0.000
4,0.000,0.000
5,0.000,0.000
6,0.000,0.000
7,0.000,0.000
8,0.000,0.000
9,0.000,0.000
10,0.000,0.000
11,0.000,0.000
12,0.000,0.000
13,0.000,0.000
14,0.000,0.000
15,0.094,0.000
16,0.187,0.043
17,0.186,0.066
18,0.152,0.090
19,0.190,0.104
20,0.133,0.120
21,0.109,0.104
22,0.122,0.105
23,0.133,0.133
24,0.084,0.103
25,0.146,0.144
26,0.263,0.263
27,0.290,0.292
28,0.375,0.375
29,0.487,0.487
30,0.407,0.409
31,0.341,0.343
32,0.437,0.437
33,0.306,0.305
34,0.347,0.308
35,0.377,0.337
36,0.364,0.247
37,0.613,0.378
38,0.781,0.573
39,0.816,0.595
40,0.916,0.514
41,0.909,0.503
42,1.116,0.659
43,1.255,0.663
44,1.841,0.912
45,2.439,1.094
46,3.715,1.335
47,5.800,2.337
48,9.681,5.374
49,12.648,16.234
50,0.000,0.000
